Year,Input,Gerd_storage,Gerd_release,Roseires_storage,Roseires_release,Sennar_storage,Sennar_release,Had_storage,Had_release,Gerd_production
70,[8900.05341818 1351.98062741 3755.8295264   939.81939841],418437455.8425398,590.2409732963044,28931314.01069098,692.7347422308668,2656249.2388990307,604.9539174251221,42019207634.50296,1351.9806274061432,109544.29383698865
71,[5782.80140996  143.76909519 4655.98018132 5426.44634708],207334780.22958902,270.52130027122064,27850661.999425415,305.2032637081032,1156585.1881898376,263.41994481924377,44686990462.447334,254.2254853997368,46344.56499690351
72,[2865.41252128 2363.33304228  305.00249939  373.48188749],114476511.19237529,142.26254275604123,27467415.043257136,167.62207592222623,567477.9493442113,129.192130787958,40968834144.10558,2363.3330422760437,23091.28738487151
73,[8226.0056066  1440.76256565 1270.60512652 5222.43260055],72539931.90604088,85.7620603564403,27294067.522941753,105.4386770828415,260861.0100790664,59.413288406285034,39582526281.11362,1440.7625656450514,12258.402470338286
74,[7699.93553099  863.28410999 6228.90475819  853.47464994],53479483.159814335,59.180003569210754,27246580.17289279,88.3696112755591,287052.1404110936,65.2293482663021,38885865953.16861,863.284109987373,9255.86377148229
75,[ 516.81721169 2125.41852627 5406.3512161  6374.29901498],51460559.536567435,52.07509756415028,27170648.878176432,61.17431328886915,179918.31206990185,40.93184052108447,34911386348.87484,2125.418526272592,7872.050173485204
76,[7260.91333723 3903.40831785 5163.00348301 3229.56472941],81313443.0900306,72.37682642756313,27261774.623333335,93.76216833717235,270327.01344417233,61.4042146512563,30355690811.759678,2641.047426739672,11515.149547408095
77,[7951.86194769 1083.32900505 4389.71420706  784.56381342],240007767.9629208,191.6229961954179,27819480.98210138,293.41220588847176,951398.064984197,215.96410627019344,29650055187.57805,1083.3290050482972,32356.39185381658
78,[ 253.50743415 3850.59365871 8359.80120512 6959.74206094],2230440579.9484897,263.0632817372409,28500138.13409935,537.2587863022194,1935298.9017653037,439.47328724677527,25195734040.008476,2238.762364608514,80868.09861802933
79,[4089.52944414  693.17728028 1564.37042671 2502.42898165],2549644153.9752274,2040.742189452407,1302987148.638923,2162.0943143095847,9101277.03416943,2065.796489152869,26460509630.741226,693.1772802833831,671544.1586331876
80,[5492.26664706 2858.3836908  6601.97376718 2799.33896946],1816605203.076212,1979.7620832276457,34549272.503777355,3194.2493099002745,293022831.9879248,3032.327668756303,35262825329.80544,2522.2983062131057,539934.115291218
81,[9548.65280663 2951.58766678 5543.54052511 6117.20746234],988472697.4185572,1236.5055596365344,31537728.787165314,1627.033183682432,7062891.089840658,1711.8891024513273,43523720511.252304,2943.7130532121596,292883.4846092286
82,[4196.00062428  990.923958   3559.72678651 7578.46110464],418882011.09458363,592.3775201414385,29011904.732165743,721.8579099519906,2784353.6452462953,634.4578677522442,49011694553.52531,990.9239580046299,109965.52461508826
83,[143.9348863  464.29056203 460.02642022 407.28802319],545090989.7968588,143.93488629755868,27567314.294812232,203.81311463752854,710660.9031842032,162.287659478724,50964262927.19896,526.9935755917003,29370.7787064136
84,[8554.60584011 2814.63143752 4741.73829087  978.34160651],137392861.16129687,259.38859927025686,27790825.969494414,283.2765734503429,1076150.399306465,244.44325746224558,46042257519.99388,2814.6314375200955,42678.758236643764
85,[4916.15875117 1893.88708312 1732.0186991  4338.51649238],74555173.112722,94.36718441749542,27283739.78371254,101.8761052113921,245191.61883325392,56.06871566177305,43535421635.28684,1893.8870831222628,13505.0264478227
86,[3985.04734397 2463.40039221 6350.93650868  453.04009772],53615863.05721631,59.878305558929156,27187452.65648248,67.20191218038084,193953.2526798696,44.09940690626825,38537850184.05915,2463.4003922088664,9365.871101453267
87,[3746.12614626 2503.43966286 5031.3625858  8564.89841188],51470632.6939395,52.12361709660796,27153569.035567198,55.038231375715924,152930.94678590042,34.77285318757823,33592335152.748463,2503.439662856945,7879.43399222937
88,[6586.93631619  651.73770833  705.687474   6424.19278206],81314127.96131977,72.38032173134161,27246236.547815222,88.19416124216706,245836.341205874,55.8372209461767,34338667684.83305,651.7377083257187,11515.710455229959
89,[ 265.11310542 2343.10232509 9402.30241425 5754.74177876],240007818.966199,191.6232404605475,27657765.126285575,235.5243629657469,696717.5995222183,158.17097870591564,30335967092.235313,2343.102325093853,32356.43401588645
90,[3881.69926207 2573.15287377 4582.52890492 5456.16789316],953685791.0140299,739.7060148299305,29601038.758216083,931.2499209336041,3668951.505645098,832.7428490232091,25732500056.699955,2285.7733018870845,173812.80142283317
91,[9414.64808777 1544.4105512  9611.90563824 9053.50641956],2102029521.5021014,1731.1954948253479,32870960.191615283,2102.3967122743657,8838599.507174388,2006.8424246351576,25585800996.34419,1544.4105512030965,517101.292947003
92,[1957.91134789  277.4452035  1007.78001377  182.21825652],1730958981.3378446,1840.2292136359426,1295376117.6157613,1799.09228292342,147599988.59305087,1693.397023935832,36938301513.29949,277.44520350066176,493600.2261256989
93,[ 944.42960756 2732.02709367  711.8864846  3189.75630294],1682760043.7410724,944.429607559284,1271816667.7186542,1204.011040637274,5201925.767637836,1235.3777272915186,39890732747.89581,2732.027093665428,259295.13083511585
94,[8448.75310969   93.08774294 8144.68482589 2818.54774773],470354394.49312556,839.7126933645865,29649926.12921451,1428.3481524033562,5892085.639697751,1338.844169314468,45007894094.85262,217.9214673732197,159933.944502607
95,[1181.64827622 2786.94866146 6289.4284678  8774.72013527],210862326.5306873,288.5325915111992,27978854.517417457,351.356221244822,1359560.5194732202,310.6827017938618,42948787283.06679,2786.9486614566017,49528.84437131671
96,[7350.71043804 3213.92372154 2820.34572571 1774.3954378 ],114715850.93884815,143.48581438130103,27479389.192208186,171.95591031309624,586540.4863418497,133.59315713854446,37107637342.19585,3160.545740277255,23293.171138503658
97,[7506.14751641 3227.33895707 9905.05142001 4126.17676911],72560979.20720984,85.85193279310377,27320135.133291133,114.77310963341415,301916.98900955316,68.73510494047808,32445737414.533348,2807.240883631647,12271.406594976728
98,[3720.18085793 3105.65184297 3408.03540253 9307.57325604],53480907.51971949,59.187296677467856,27190734.397808217,68.39015220443085,199179.32019431086,45.306369111234254,27606444297.62579,2439.4523227756067,9257.012599289194
99,[8584.12751843 1715.9761095  7508.71067791 7545.42874085],51460664.741232835,52.07560430508473,27166341.88204549,59.61119499808317,173043.49441058747,39.33814592186028,24809771544.9715,1715.9761095000736,7872.127290061342
100,[1031.23868836 3610.21162672 5052.52372448 8264.57466108],81313450.2428679,72.37686293272742,27256771.098497003,91.96962066587086,262442.55914296454,59.6126700426098,22255786035.567303,1941.0312534975762,11515.15540556097
101,[3200.49601031 3582.09291398 3892.01678734  108.3765148 ],240007768.49560246,191.62299874653772,27713576.027091224,255.50444054362856,6271608.054485418,175.85512707619972,19949841957.23191,1753.8424258690466,32356.392294159785
102,[9053.81976419  365.14670714 3193.1363759  9500.61967051],953685787.555564,739.7059972758609,29736433.66110985,979.7334126696979,3882289.3994235406,883.2306097838946,20610043178.248814,365.1467071445341,173812.7971591869
103,[9506.07146938 2293.75155249 6318.3721217  4484.45521978],2102029521.07393,1731.1954936939926,33640391.65634398,2377.854167327521,10050648.581706878,2281.9352380792993,21273247568.866924,1745.4545264641795,517101.2925587739
104,[2932.10771698 1314.65818148 6725.18456077 7523.74529438],1728607436.4072115,1841.1392666882448,33705353.26509327,2402.563007883005,10343578.254287753,2350.7002291540157,32290883114.597412,1314.658181479664,493616.8878804786
105,[7915.79043726 3158.47257118  912.06103049 4944.20304703],982474459.7016412,1205.9477523730025,1278791328.961693,1056.1639590326497,4551517.387955108,1036.5979081669318,37620584112.49781,2834.0591816190295,285252.7824543364
106,[ 575.58760017 2198.11552929 4415.30501373 8877.04182758],484865315.34133047,564.2240933552458,28704804.41439043,1092.419635977653,4414354.536462115,1003.3152972431842,37370320953.42902,2198.1155292949416,108231.68416946076
